Treatment,Mouse,6,10,13,17,20,22
Group 01,28,90.25,138.91,381.62,908.19,1565.17,1954.68
Group 01,32,96.04,99.06,188.7,203.08,149.73,117.71
Group 01,34,89.08,105.3,356.09,795.32,1225.15,1669.49
Group 01,68,85.96,127.77,320.74,791.95,1137.7,1409.56
Group 01,71,80.68,214.72,774.83,1657.03,1966.99,2273.66
Group 01,79,93.1,222.81,535.36,984.94,1867.88,2028.13
Group 01,84,83.65,188.66,656.14,1374.22,2857.29,2962.16
Group 01,88,91.1,117.11,264.79,741.76,1099.98,1446.01
Group 01,114,97.1,157.27,459.83,1016.72,1609.8,1978.8
Group 01,115,69.26,95.2,309.92,859.14,1129.71,1321.82
Group 02,27,88.93,205.21,516.7,1100.44,1320.81,1490.72
Group 02,37,93.08,71.66,94.37,145.28,244.48,276.82
Group 02,43,85.78,191.72,404.45,682.62,758.8,783.21
Group 02,49,71.65,44.16,24.92,31.41,0,0
Group 02,58,90.73,73.13,34.04,17.47,0,0
Group 02,60,95,183.27,181.74,145.38,115.09,101.46
Group 02,63,83.47,119.32,188.12,335.21,331.63,367.18
Group 02,73,97.71,213.41,496.06,1088.3,1610.92,1988.61
Group 02,75,80.51,164.5,517.31,1254.76,1661.49,2041.4
Group 02,83,89.34,438.02,860.31,1114.67,924.5,968.18
Group 03,19,73.75,311.51,1103.13,2066.95,3109.32,
Group 03,39,93.86,90.25,303.43,1006.03,2058.92,2584.58
Group 03,54,82.65,303.04,1046.15,2090.78,2490.96,2995.87
Group 03,74,92.9,228.87,976.64,1681.49,2800.08,3667.98
Group 03,76,89.55,202.59,721.83,1396.65,2229.62,2755.3
Group 03,90,80.17,297.04,974.74,1982.24,3060.84,
Group 03,92,98.86,261.66,879.89,1680.44,2905.05,3049.55
Group 03,108,84.93,484.9,1101.29,2079.66,2710.81,3435.22
Group 03,110,90.98,431.21,1191.27,2115.26,2540.42,2944.46
Group 03,113,88.44,192.62,780.43,,,
Group 04,41,88.96,109.44,172.53,555.36,730.49,1088.7
Group 04,48,83.97,78.98,120.09,412.5,960.86,1096.36
Group 04,51,83.04,67.46,27.1,18.68,0,0
Group 04,53,90,271.08,312.82,337.09,359.41,377.09
Group 04,55,79.3,202.23,853.03,2151.36,4003.84,
Group 04,59,97.52,139.21,129.07,293.89,569.78,688.36
Group 04,78,96.94,207.71,474.86,667.35,821,959.34
Group 04,104,90.93,118.96,156.61,348.5,673.27,843.5
Group 04,107,74.37,71.75,53.96,84.94,307.83,374.9
Group 04,120,91.44,332.42,713.6,1423.53,2182.59,2859.54
Group 05,22,78.99,250.42,320.25,215.85,126.6,67.41
Group 05,33,90.25,126.26,199.49,416.05,748.32,831.67
Group 05,44,95.68,192.74,759.02,1267.36,1841.04,2047.17
Group 05,47,97.59,552.83,1317.47,2176.15,2123.27,2549.53
Group 05,50,84.88,187.72,255.57,191.25,206.93,128.85
Group 05,66,83.29,197.76,517.58,886.16,1606.85,1917.92
Group 05,99,90.37,245.89,582.9,801.67,1026.19,1099.38
Group 05,105,92.91,65.21,31.75,17.54,0,0
Group 05,109,87.96,216.99,711.46,1142.12,1421.68,1460.66
Group 05,116,74.38,191.7,397.38,573.32,748.8,784.13
Group 06,17,83.81,239.64,490.19,580.22,601.09,672.66
Group 06,18,78.58,112.06,281.27,202.13,181.53,156.27
Group 06,29,97.04,177.81,291.35,387.81,551.59,574.01
Group 06,38,89.38,172.65,458.76,493.38,719.17,747.17
Group 06,42,92.34,102.82,129.44,124.86,197.85,147.65
Group 06,45,82.11,154.58,249.3,290.93,417.71,435.4
Group 06,46,86.87,295.13,398.61,535.47,655.67,716.77
Group 06,56,90.94,322.06,310.93,201.06,246.51,197.76
Group 06,95,96.33,210,210.21,160.68,291.86,303.3
Group 06,117,78.85,131.55,147.85,154.26,147.08,126.53
Group 07,1,98.61,144.87,158.01,102.39,74.19,53.35
Group 07,2,55.29,277.04,348.92,289.3,242.24,117.62
Group 07,3,54.85,65.1,97.35,49.71,0,0
Group 07,4,90.95,89.81,87.15,51.61,35.22,39.61
Group 07,5,81.23,148.17,258.11,315.04,179.76,137.62
Group 07,6,109.54,434.11,497.24,411.64,223.17,233.41
Group 07,7,92.58,88.69,55.41,31.35,14.2,0
Group 07,8,101,153.42,149.46,105.13,48.25,37.37
Group 07,9,81.06,47.89,108.63,136.81,241.35,224.93
Group 07,10,46.04,112.9,338.12,601.53,466.45,462.53
Group 07,11,100.69,248.37,301.95,184.71,84.79,81.59
Group 07,12,82.13,218.32,238.77,161.37,147.45,96.44
Group 07,13,77.47,149.7,197.53,132.72,48.62,36.47
Group 07,14,69.36,37.71,39.92,35.01,12.29,0
Group 07,15,97.25,258.59,282.96,157.42,38.76,28.85
