Treatment,Mouse,7,11,14,18,21,24
Group 01,271,73.04,108.17,312.90,511.07,928.72,1484.06
Group 01,281,98.47,315.69,706.47,1329.69,1997.33,3032.16
Group 01,302,89.29,246.00,573.90,953.40,1151.93,1835.84
Group 01,304,91.42,294.75,628.83,1289.36,1876.10,3093.94
Group 01,305,81.92,232.63,557.73,1212.48,1878.08,3339.89
Group 01,323,105.46,168.94,388.36,757.76,1230.88,2187.57
Group 01,329,82.83,144.82,628.01,1250.72,1860.54,3026.44
Group 01,331,98.33,137.26,682.68,1183.09,1849.98,3576.63
Group 01,360,79.11,93.71,433.04,841.90,930.72,1584.36
Group 01,368,85.27,165.83,550.64,1095.74,1950.39,3664.98
Group 02,255,73.69,87.98,208.77,350.81,428.32,933.54
Group 02,261,91.11,172.02,387.29,601.97,843.27,1230.59
Group 02,282,83.72,111.86,255.25,481.53,728.65,1333.38
Group 02,285,96.55,117.12,311.13,625.61,1034.14,1944.32
Group 02,296,91.15,110.00,347.13,681.02,957.08,1231.51
Group 02,299,100.71,184.62,470.86,757.64,1295.16,2148.73
Group 02,319,102.93,182.68,302.81,616.54,886.23,1573.22
Group 02,335,81.20,95.56,156.77,211.55,371.15,613.95
Group 02,358,85.21,185.74,399.71,665.13,908.82,1709.18
Group 02,366,78.91,84.75,286.66,627.68,1338.75,2066.53
Group 03,264,74.37,156.93,379.30,876.34,1675.24,
Group 03,284,81.92,140.62,485.54,1065.76,1815.03,2684.94
Group 03,295,87.54,112.51,377.26,754.44,1258.21,2707.14
Group 03,312,108.78,187.53,398.10,752.77,1077.25,
Group 03,316,97.70,114.69,307.77,963.02,1737.01,3462.79
Group 03,324,80.54,103.04,401.54,992.90,1564.16,2409.45
Group 03,326,93.47,129.76,472.95,1012.50,1341.54,2398.79
Group 03,332,84.75,128.65,351.51,715.35,1013.40,1738.71
Group 03,342,78.60,105.43,371.41,972.08,1587.23,3486.17
Group 03,364,98.52,98.91,343.98,677.22,1155.95,
Group 04,263,86.70,175.44,294.75,537.04,837.35,1091.82
Group 04,268,85.93,100.60,457.41,482.48,548.45,746.39
Group 04,313,77.75,98.59,219.20,220.82,233.55,234.23
Group 04,320,96.09,137.90,233.53,249.78,262.15,308.90
Group 04,327,84.15,92.44,303.32,330.79,414.97,589.19
Group 04,338,103.16,142.17,170.51,182.49,188.16,193.78
Group 04,344,100.38,128.75,184.63,190.20,271.42,344.58
Group 04,348,95.02,96.68,134.78,246.51,273.98,279.67
Group 04,351,74.84,126.68,264.73,289.19,352.08,363.17
Group 04,357,82.16,236.74,361.78,460.14,538.09,703.55
Group 05,272,93.05,139.71,499.33,1155.68,1723.39,3283.48
Group 05,289,82.85,89.65,130.86,138.60,157.29,256.87
Group 05,291,77.45,91.24,213.62,231.49,419.02,738.56
Group 05,293,103.81,131.18,331.61,844.34,1159.92,1752.79
Group 05,300,95.41,167.61,411.37,744.45,1013.46,1533.05
Group 05,314,83.10,95.05,181.73,306.93,512.05,911.58
Group 05,333,100.99,137.12,285.69,441.37,677.28,1257.35
Group 05,336,89.17,186.38,435.47,636.27,732.57,1476.47
Group 05,362,75.97,199.45,343.55,515.80,780.92,1214.62
Group 05,369,84.92,116.50,265.69,331.40,436.94,715.55
Group 06,277,80.20,,,,,
Group 06,301,100.01,85.88,235.32,,,
Group 06,322,77.16,89.77,320.20,340.05,360.14,388.18
Group 06,341,94.49,113.93,,,,
Group 06,343,105.06,74.41,175.82,201.10,215.23,330.67
Group 06,345,76.23,73.16,121.86,168.21,194.21,249.92
Group 06,352,83.24,88.33,129.22,225.85,338.55,342.99
Group 06,356,86.87,87.17,265.30,390.27,427.28,583.17
Group 06,363,85.65,170.39,228.56,346.85,395.55,591.32
Group 06,373,96.59,132.42,171.34,248.06,266.23,439.88
Group 07,256,81.17,143.33,369.11,788.23,1030.97,
Group 07,273,80.12,152.51,309.19,608.93,932.51,
Group 07,276,88.97,138.06,324.65,636.96,744.50,1455.90
Group 07,278,76.47,54.83,37.24,56.10,142.88,188.33
Group 07,280,85.50,169.54,434.09,1263.37,1544.27,3154.44
Group 07,288,76.41,84.27,236.10,317.55,592.47,976.55
Group 07,328,95.49,99.10,327.33,647.34,1061.84,2169.04
Group 07,334,92.83,109.44,250.72,497.52,772.57,1548.28
Group 07,347,98.71,201.71,614.21,1153.68,1646.34,2554.32
Group 07,376,109.97,90.36,397.31,802.21,1374.91,2249.69
